fecha_hora,latitud,longitud,profundidad,tipo,magnitud,tipo_magnitud,lugar
2019-05-24T22:09:19Z,-20.6288,169.8094,130.99,terremoto,5,mb,"132km SSE of Isangel, Vanuatu"
2019-05-24T21:23:35Z,13.8738,92.9593,10,terremoto,5,mb,"241km N of Bamboo Flat, India"
2019-05-24T20:15:59Z,-27.8791,-66.6421,148.6,terremoto,5.2,mww,"45km SW of Andalgala, Argentina"
2019-05-24T16:12:45Z,7.0056,-77.5029,10,terremoto,4.9,mb,"30km ESE of Jurado, Colombia"
2019-05-24T09:36:17Z,-16.4691,178.0273,10,terremoto,5.2,mb,"140km NNE of Lautoka, Fiji"
2019-05-24T06:16:17Z,-44.6693,-80.5131,10,terremoto,4.9,mb,"Off the coast of Aisen, Chile"
2019-05-24T03:40:17Z,36.0017,139.3324,111,terremoto,4.6,mb,"7km NW of Sakado, Japan"
2019-05-23T18:52:45Z,18.3772,-106.4698,10,terremoto,4.5,mb,"208km WSW of San Patricio, Mexico"
2019-05-23T15:56:41Z,-2.565,-12.2142,10,terremoto,5.1,mb,North of Ascension Island
2019-05-23T15:02:17Z,-21.6089,169.7702,10,terremoto,5.7,mww,"195km E of Tadine, New Caledonia"
2019-05-23T12:34:34Z,-6.2244,142.3577,10,terremoto,5.2,mb,"118km E of Kiunga, Papua New Guinea"
2019-05-23T08:45:18Z,51.3631,-178.3306,27.79,terremoto,6.1,mww,"55km ENE of Amatignak Island, Alaska"
2019-05-23T06:57:16Z,-34.6983,-178.3425,10,terremoto,4.8,mb,South of the Kermadec Islands
2019-05-23T06:30:19Z,-13.8965,48.9282,10,terremoto,4.7,mb,"56km ESE of Ambanja, Madagascar"
2019-05-23T06:12:49Z,24.0151,121.5603,16.23,terremoto,4.7,mb,"6km NW of Hualian, Taiwan"
2019-05-22T21:55:32Z,18.7122,-107.2225,10,terremoto,4.7,mb,"247km WSW of Tomatlan, Mexico"
2019-05-22T21:16:32Z,15.3205,-94.4544,35,terremoto,4.7,mb,"100km SW of Paredon, Mexico"
2019-05-22T18:10:05Z,-15.373,-173.0679,10,terremoto,5.1,mb,"97km NE of Hihifo, Tonga"
2019-05-22T17:36:19Z,-35.7741,-99.9665,10,terremoto,5.4,mww,Southeast of Easter Island
2019-05-22T11:53:14Z,-24.508,-179.6405,488.96,terremoto,4.6,mb,South of the Fiji Islands
