ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
9220,Secret Agent,1936,6.6,"Misterio, Suspenso",6943,Alfred Hitchcock,86,NA
9221,Soy Cuba,1964,8,"Drama, Histórico, Guerra",6943,Mikhail Kalatozov,108,0.16
9222,Poultrygeist: Night of the Chicken Dead,2006,6.2,"Comedia, Horror, Musical",6942,Lloyd Kaufman,103,0.02
9223,A Perfect Plan,2012,6.3,"Aventura, Comedia, Romántica",6942,Pascal Chaumeil,104,NA
9224,Lonely Are the Brave,1962,7.7,"Drama, Oeste",6941,David Miller,107,NA
9225,The Decline of the American Empire,1986,7.3,"Comedia, Drama",6940,Denys Arcand,101,1.9
9226,Knight Moves,1992,6.1,"Crimen, Drama, Misterio",6939,Carl Schenkel,116,0.92
9227,Why Stop Now?,2012,5.6,"Comedia, Drama",6938,Phil Dorling,85,0
9228,Tabutta Rövasata,1996,7.8,Drama,6936,Dervis Zaim,75,NA
9229,The Dogs of War,1980,6.3,"Acción, Aventura, Drama",6935,John Irvin,118,NA
9230,The Meteor Man,1993,5.1,"Acción, Comedia, Fantasía",6932,Robert Townsend,100,8.02
9231,Island of Lost Souls,1932,7.5,"Horror, Ciencia Ficción",6930,Erle C. Kenton,70,NA
9232,La vie rêvée des anges,1998,7.5,Drama,6928,Erick Zonca,113,1.73
9233,The Hardcore Life,1979,7,"Drama, Suspenso",6927,Paul Schrader,108,NA
9234,Enter Nowhere,2011,6.6,"Misterio, Ciencia Ficción, Suspenso",6927,Jack Heller,90,NA
9235,The Liability,2012,5.9,"Comedia, Crimen, Suspenso",6927,Craig Viveiros,82,NA
9236,La boum,1980,6.7,"Comedia, Drama, Romántica",6924,Claude Pinoteau,110,NA
9237,The Body,2001,5.4,"Drama, Misterio, Romántica",6922,Jonas McCord,109,0.03
9238,Real Gangsters,2013,6.8,"Crimen, Drama, Misterio",6920,Frank D'Angelo,88,NA
9239,Circumstance,2011,5.9,Drama,6919,Maryam Keshavarz,107,0.44
9240,Essential Killing,2010,6.1,"Suspenso, Guerra",6917,Jerzy Skolimowski,83,NA
9241,Humshakals,2014,1.8,Comedia,6916,Sajid Khan,159,NA
9242,Largo Winch II,2011,6.2,"Acción, Aventura, Suspenso",6916,Jérôme Salle,114,NA
9243,Carancho,2010,6.9,"Crimen, Drama, Romántica",6913,Pablo Trapero,107,0.09
9244,Empire,2002,6,"Crimen, Drama, Suspenso",6912,Franc. Reyes,90,17.5
9245,Kodachrome,2017,6.8,Drama,6911,Mark Raso,105,NA
9246,The King,2005,6.6,"Drama, Suspenso",6909,James Marsh,105,0.28
9247,Happy Birthday to Me,1981,6.1,"Horror, Misterio, Suspenso",6906,J. Lee Thompson,111,NA
9248,Yennai Arindhaal,2015,7.3,"Acción, Suspenso",6905,Gautham Menon,168,NA
9249,Three Wishes for Cinderella,1973,7.9,"Drama, Fantasía, Familiar",6904,Václav Vorlícek,75,NA
9250,High School,2010,5.8,Comedia,6903,John Stalberg Jr.,99,0.14
9251,Dedemin Insanlari,2011,8,"Comedia, Drama, Familiar",6903,Çagan Irmak,126,NA
9252,At Middleton,2013,6.5,"Comedia, Romántica",6900,Adam Rodgers,99,0.05
9253,Admiral,2008,6.8,"Biografía, Drama, Histórico",6900,Andrey Kravchuk,124,NA
9254,Perfectos desconocidos,2017,7,Comedia,6899,Álex de la Iglesia,97,NA
9255,Never Cry Wolf,1983,7.6,"Aventura, Drama",6898,Carroll Ballard,105,29.6
9256,The Tempest,2010,5.4,"Comedia, Drama, Fantasía",6895,Julie Taymor,110,0.28
9257,Onegin,1999,6.9,"Drama, Romántica",6894,Martha Fiennes,106,0.21
9258,Grand Prix,1966,7.2,"Drama, Deportes",6893,John Frankenheimer,176,20.85
9259,Nuns on the Run,1990,5.9,"Comedia, Crimen",6893,Jonathan Lynn,89,10.96
9260,Good Deeds,2012,5.5,"Comedia, Drama, Romántica",6892,Tyler Perry,110,35.03
9261,White Girl,2016,5.7,"Crimen, Drama",6890,Elizabeth Wood,88,0.2
9262,Bachelor Knight,1947,7.3,"Comedia, Romántica",6890,Irving Reis,95,NA
9263,La cité de la peur,1994,7.7,Comedia,6888,Alain Berbérian,93,NA
9264,Talkin' Dirty After Dark,1991,5.2,Comedia,6887,Topper Carew,89,0.98
9265,Pygmalion,1938,7.9,"Comedia, Drama, Romántica",6886,Anthony Asquith,96,3.05
9266,I Can't Think Straight,2008,6.6,"Drama, Romántica",6884,Shamim Sarif,82,0.04
9267,Jailhouse Rock,1957,6.6,"Drama, Música, Musical",6884,Richard Thorpe,96,4
9268,Ghost Dad,1990,4.3,"Comedia, Familiar, Fantasía",6884,Sidney Poitier,83,24.71
