id_estacion,lon,lat,capacidad
341,-58.4813858,-34.6142336,16
114,-58.3722554,-34.5949745,30
391,-58.4719176,-34.5508944,20
131,-58.3990158,-34.5984043,16
444,-58.3711541,-34.6089087,24
270,-58.43026,-34.640114,16
273,-58.4466674,-34.61668,16
282,-58.4562794,-34.5699743,20
370,-58.500336,-34.590964,20
286,-58.4551112,-34.6304712,16
48,-58.362004,-34.623937,16
256,-58.454304,-34.610398,20
303,-58.4626871,-34.5577145,20
225,-58.4295184,-34.5968511,20
163,-58.4064308,-34.6095663,30
312,-58.4769111,-34.629028,20
28,-58.4127377,-34.6231273,20
405,-58.4689771,-34.5767497,20
116,-58.4025894,-34.5921708,12
254,-58.4415718,-34.6206836,16
393,-58.468535,-34.590848,12
321,-58.444754,-34.561851,16
343,-58.4411639,-34.6357272,20
436,-58.4450299,-34.5782972,28
78,-58.3799953,-34.5910737,20
300,-58.431683,-34.649215,19
316,-58.4533609,-34.605638,16
40,-58.373499,-34.604461,16
180,-58.420492,-34.619775,20
120,-58.4092876,-34.617509,20
189,-58.3852113,-34.5886889,20
214,-58.4289624,-34.5905808,16
389,-58.44024,-34.62795,20
392,-58.485419,-34.554754,16
244,-58.4842469,-34.5874735,20
422,-58.4442786,-34.5409892,28
93,-58.3944635,-34.620798,20
255,-58.44855,-34.6221889,16
369,-58.491797,-34.592244,20
146,-58.4078419,-34.6221118,20
168,-58.3812271,-34.6186217,16
307,-58.365323,-34.6451626,20
247,-58.4666304,-34.5839895,18
402,-58.4985424,-34.5976121,16
151,-58.361285,-34.6118145,24
13,-58.406,-34.61009,30
359,-58.4504687,-34.555654,20
170,-58.4061023,-34.5996644,20
188,-58.3904814,-34.623923,20
104,-58.455212,-34.587617,30
280,-58.4494755,-34.6333113,24
396,-58.448011,-34.601852,20
69,-58.4046092,-34.5961006,16
54,-58.4219844,-34.5981183,20
283,-58.456035,-34.6355054,20
430,-58.3778856,-34.607981,12
150,-58.3631389,-34.6181003,30
276,-58.4699652,-34.559476,16
79,-58.36393,-34.61189,30
128,-58.3689118,-34.6041138,20
121,-58.4285093,-34.6011732,20
208,-58.4379925,-34.5804702,20
27,-58.3900887,-34.599068,16
33,-58.3989807,-34.5970909,20
98,-58.3769407,-34.6127689,16
44,-58.4138829,-34.5755148,20
38,-58.3828403,-34.5970497,20
423,-58.4822137,-34.5980929,20
336,-58.5114159,-34.5999173,28
212,-58.434983,-34.600164,20
3,-58.3682604,-34.611032,20
127,-58.453077,-34.5923884,16
340,-58.467329,-34.626242,12
294,-58.4520062,-34.5458835,20
285,-58.3561752,-34.6172122,20
227,-58.4327935,-34.6105021,20
274,-58.4630428,-34.5563511,24
349,-58.466884,-34.570894,20
375,-58.4847864,-34.6050537,16
76,-58.3950548,-34.6074084,20
431,-58.4361167,-34.5430055,20
183,-58.3899728,-34.6156994,20
259,-58.4434052,-34.5580469,16
241,-58.494123,-34.600874,12
153,-58.3620701,-34.6307765,15
118,-58.4026531,-34.6170196,20
267,-58.4835484,-34.6296512,12
210,-58.4113228,-34.572132,20
264,-58.4812325,-34.5559308,16
420,-58.4390434,-34.5440696,20
14,-58.426387,-34.577424,30
71,-58.3833559,-34.6026673,30
83,-58.3893728,-34.603269,20
17,-58.4187306,-34.6064101,20
35,-58.371847,-34.5964246,30
112,-58.380384,-34.612075,16
251,-58.409772,-34.6446224,20
395,-58.4535687,-34.5968038,16
56,-58.425999,-34.588567,16
302,-58.415423,-34.651955,16
319,-58.4036,-34.6036,20
130,-58.3745419,-34.5921056,40
284,-58.4350943,-34.6311092,20
261,-58.4406995,-34.616207,16
367,-58.4772418,-34.6163487,16
200,-58.4038684,-34.5883282,20
49,-58.422611,-34.6290527,20
55,-58.36966404,-34.5994122,20
253,-58.4167728,-34.6172808,20
263,-58.4575279,-34.6217948,12
441,-58.3749195,-34.61001199,20
404,-58.4408983,-34.543949,20
73,-58.3718235,-34.6306814,16
298,-58.463437,-34.634443,15
169,-58.411887,-34.611875,12
174,-58.391768,-34.597225,16
377,-58.422987,-34.607333,16
406,-58.3642613,-34.6009283,16
11,-58.3850791,-34.6011762,19
117,-58.3741759,-34.6201008,16
8,-58.3893364,-34.6094218,24
165,-58.407614,-34.597048,12
448,-58.3787309,-34.582618,16
82,-58.4263947,-34.6078917,20
115,-58.3908362,-34.5878001,16
373,-58.4810286,-34.5824889,16
408,-58.4683699,-34.6600076,20
278,-58.469789,-34.564083,16
419,-58.467851,-34.547673,28
182,-58.4352466,-34.5780479,20
176,-58.3611029,-34.6341873,20
211,-58.3879696,-34.6266267,20
361,-58.453732,-34.569147,20
101,-58.4424397,-34.5891857,20
400,-58.471003,-34.579751,16
347,-58.4065391,-34.5834356,20
413,-58.379346,-34.6545736,16
70,-58.4260597,-34.5926862,20
156,-58.4074696,-34.5775895,20
59,-58.3804546,-34.617771,20
201,-58.378167,-34.6034449,20
260,-58.4381142,-34.550961,18
187,-58.450854,-34.5528626,16
290,-58.4456027,-34.6186003,20
309,-58.367059,-34.6350001,20
134,-58.4150532,-34.6118013,20
326,-58.4202266,-34.6411734,20
26,-58.3636593,-34.6004606,24
313,-58.4449536,-34.565003,20
337,-58.4613,-34.5985,16
102,-58.4458199,-34.5864287,12
190,-58.4111136,-34.5850763,20
449,-58.4636606,-34.6289374,24
193,-58.4061652,-34.5908626,20
235,-58.4868051,-34.5737764,24
43,-58.3900194,-34.583918,16
398,-58.4546508,-34.5761817,16
2,-58.3747151,-34.5924233,20
385,-58.4934192,-34.6061187,16
126,-58.3692243,-34.6402672,16
206,-58.4372524,-34.5849119,16
308,-58.436847,-34.567639,20
435,-58.4595541,-34.5445971,16
23,-58.3793463,-34.6003095,12
186,-58.4064415,-34.6136356,20
197,-58.4233969,-34.613449,20
291,-58.381621,-34.616985,16
205,-58.4279562,-34.5832733,16
382,-58.477426,-34.605452,16
172,-58.371082,-34.625426,16
354,-58.4401581,-34.613457,20
306,-58.45585,-34.608465,20
41,-58.4076348,-34.6364511,20
371,-58.455058,-34.63281,16
387,-58.4655301,-34.6019716,16
194,-58.4224635,-34.6060758,16
289,-58.4484316,-34.5597934,24
345,-58.4750615,-34.5947762,20
355,-58.4465088,-34.5675048,16
63,-58.3728605,-34.5987657,20
386,-58.475512,-34.5656428,8
432,-58.435877,-34.620249,20
204,-58.4278453,-34.6148209,24
155,-58.4125606,-34.6409617,20
427,-58.367461,-34.64072,24
21,-58.4062115,-34.6396832,24
202,-58.390967,-34.583811,30
297,-58.466118,-34.640978,16
221,-58.4274042,-34.6280441,20
242,-58.4032162,-34.5771741,20
384,-58.4618523,-34.579734,16
219,-58.4157035,-34.6351732,16
281,-58.4583742,-34.6138773,16
310,-58.37747,-34.63819,16
19,-58.3776353,-34.5956027,24
39,-58.3876925,-34.6092213,20
228,-58.3657444,-34.6162819,20
232,-58.4788904,-34.5599395,20
322,-58.4541858,-34.5513269,20
96,-58.4116586,-34.6027814,20
158,-58.4450697,-34.592735,20
252,-58.3762137,-34.6445163,16
295,-58.437683,-34.624802,20
22,-58.3825498,-34.5938629,20
338,-58.479421,-34.602931,16
362,-58.479108,-34.566746,16
342,-58.484297,-34.616813,20
95,-58.3781678,-34.6021121,16
304,-58.484204,-34.589409,16
141,-58.3904968,-34.6115231,20
323,-58.459401,-34.565275,24
195,-58.407389,-34.6260785,20
271,-58.47426,-34.63008,20
277,-58.4360367,-34.5634645,12
348,-58.474369,-34.610482,16
72,-58.3746635,-34.6135421,18
45,-58.3866934,-34.6018635,20
364,-58.434381,-34.568722,24
149,-58.3813642,-34.6153266,16
4,-58.3687628,-34.6017255,20
6,-58.369758,-34.628526,20
89,-58.4056671,-34.5825475,20
12,-58.388807,-34.5927096,16
31,-58.4396457,-34.6032081,20
80,-58.4303766,-34.624435,16
92,-58.4053386,-34.6316444,20
85,-58.4091784,-34.5948057,20
161,-58.4196761,-34.6020779,20
66,-58.4138713,-34.5945475,20
426,-58.457962,-34.555582,20
239,-58.4201625,-34.5650089,20
352,-58.4248291,-34.5807104,28
333,-58.5036238,-34.6004332,20
