anio,equipo,codigo_pais,ronda,resultado,goles,id_partido_anio,numero_equipo
1995,Japón,JPN,Cuartos de final,Derrota,0,19,1
1995,Estados Unidos,USA,Cuartos de final,Victoria,4,19,2
1995,Noruega,NOR,Cuartos de final,Victoria,3,20,1
1995,Dinamarca,DEN,Cuartos de final,Derrota,1,20,2
1995,Alemania,GER,Cuartos de final,Victoria,3,21,1
1995,Inglaterra,ENG,Cuartos de final,Derrota,0,21,2
1995,Suecia,SWE,Cuartos de final,Derrota,1,22,1
1995,República Popular China,CHN,Cuartos de final,Victoria,1,22,2
1995,Estados Unidos,USA,Semifinales,Derrota,0,23,1
1995,Noruega,NOR,Semifinales,Victoria,1,23,2
1995,Alemania,GER,Semifinales,Victoria,1,24,1
1995,República Popular China,CHN,Semifinales,Derrota,0,24,2
1995,República Popular China,CHN,Tercer lugar,Derrota,0,25,1
1995,Estados Unidos,USA,Tercer lugar,Victoria,2,25,2
1995,Alemania,GER,Final,Derrota,0,26,1
1995,Noruega,NOR,Final,Victoria,2,26,2
1999,Estados Unidos,USA,Fase de grupos,Victoria,3,1,1
1999,Dinamarca,DEN,Fase de grupos,Derrota,0,1,2
1999,República Popular China,CHN,Fase de grupos,Victoria,2,2,1
1999,Suecia,SWE,Fase de grupos,Derrota,1,2,2
1999,Brasil,BRA,Fase de grupos,Victoria,7,3,1
1999,México,MEX,Fase de grupos,Derrota,1,3,2
1999,Japón,JPN,Fase de grupos,Empate,1,4,1
1999,Canadá,CAN,Fase de grupos,Empate,1,4,2
1999,Noruega,NOR,Fase de grupos,Victoria,2,5,1
1999,Rusia,RUS,Fase de grupos,Derrota,1,5,2
1999,Australia,AUS,Fase de grupos,Empate,1,6,1
1999,Ghana,GHA,Fase de grupos,Empate,1,6,2
1999,Alemania,GER,Fase de grupos,Empate,1,7,1
1999,Italia,ITA,Fase de grupos,Empate,1,7,2
1999,Corea del Norte,PRK,Fase de grupos,Derrota,1,8,1
1999,Nigeria,NGA,Fase de grupos,Victoria,2,8,2
1999,Japón,JPN,Fase de grupos,Derrota,0,9,1
1999,Rusia,RUS,Fase de grupos,Victoria,5,9,2
1999,República Popular China,CHN,Fase de grupos,Victoria,7,10,1
1999,Ghana,GHA,Fase de grupos,Derrota,0,10,2
1999,Noruega,NOR,Fase de grupos,Victoria,7,11,1
1999,Canadá,CAN,Fase de grupos,Derrota,1,11,2
1999,Australia,AUS,Fase de grupos,Derrota,1,12,1
1999,Suecia,SWE,Fase de grupos,Victoria,3,12,2
1999,Corea del Norte,PRK,Fase de grupos,Victoria,3,13,1
1999,Dinamarca,DEN,Fase de grupos,Derrota,1,13,2
1999,Alemania,GER,Fase de grupos,Victoria,6,14,1
1999,México,MEX,Fase de grupos,Derrota,0,14,2
