pais,camara,porcentaje_mujeres,cuota_genero,edad_elegibilidad,integrante_mas_joven,numero_integrantes,iso_pais
Ucrania,única,11.58,No,21,26,423,ukr
Uruguay,baja,22.22,Sí,25,30,99,ury
Uruguay,alta,25.81,Sí,30,44,31,ury
Uruguay,única,NA,NA,NA,NA,NA,ury
Uzbekistan,baja,16,Sí,25,NA,150,uzb
Uzbekistan,alta,17,Sí,25,38,100,uzb
Uzbekistan,única,NA,NA,NA,NA,NA,uzb
San Vicente y las Granadinas,baja,NA,NA,NA,NA,NA,vct
San Vicente y las Granadinas,alta,NA,NA,NA,NA,NA,vct
San Vicente y las Granadinas,única,13.04,No,21,28,23,vct
Viet Nam,baja,NA,NA,NA,NA,NA,vnm
Viet Nam,alta,NA,NA,NA,NA,NA,vnm
Viet Nam,única,26.72,No,21,25,494,vnm
Vanuatu,baja,NA,NA,NA,NA,NA,vut
Vanuatu,alta,NA,NA,NA,NA,NA,vut
Vanuatu,única,0,No,25,NA,52,vut
Samoa,baja,NA,NA,NA,NA,NA,wsm
Samoa,alta,NA,NA,NA,NA,NA,wsm
Samoa,única,10,Sí,21,NA,50,wsm
Yemen,baja,0.33,No,25,30,301,yem
Yemen,alta,2.7,No,NA,NA,111,yem
Yemen,única,NA,NA,NA,NA,NA,yem
Sudáfrica,baja,44.16,No,18,24,385,zaf
Sudáfrica,alta,35.19,No,NA,28,54,zaf
Sudáfrica,única,NA,NA,NA,NA,NA,zaf
Zambia,baja,NA,NA,NA,NA,NA,zmb
Zambia,alta,NA,NA,NA,NA,NA,zmb
Zambia,única,17.96,No,21,28,167,zmb
Zimbabwe,baja,31.85,No,21,25,270,zwe
Zimbabwe,alta,43.75,No,40,36,80,zwe
Zimbabwe,única,NA,NA,NA,NA,NA,zwe
