id,descripcion,id_anfitrion,nombre_anfitrion,anfitrion_desde,superanfitrion,barrio,latitud,longitud,tipo_alojamiento,huespedes,politica_cancelacion
10391799,Habitación cómoda al sur del D.F.,53501798,Maribel,2016-01-05,FALSE,Coyoacán,19.32967,-99.17149,Habitación privada,1,flexible
10406530,Cuarto en Polanco,46707822,Elisa,2015-10-16,FALSE,Miguel Hidalgo,19.43548,-99.18878,Habitación privada,1,flexible
10407188,New Apartment in the Heart of Mexico City,53589424,Jimena,2016-01-06,TRUE,Cuauhtémoc,19.42706,-99.15828,Alojamiento entero,2,flexible
10407885,Recamara en zona sur ubicadisima,25515865,Catalina,2015-01-02,FALSE,Coyoacán,19.30546,-99.13962,Habitación privada,1,moderate
10410676,casa unifamiliar en condominio.,53602834,Otilia,2016-01-06,FALSE,Benito Juárez,19.39004,-99.18595,Alojamiento entero,2,flexible
10413367,"Cozzy appart, 3 blocks from Reforma BEST LOCATION",34150828,Cynthia,2015-05-25,TRUE,Cuauhtémoc,19.43348,-99.16607,Alojamiento entero,3,moderate
10425124,Private room close to San Ángel,53693053,Cosette,2016-01-07,FALSE,Álvaro Obregón,19.34159,-99.21168,Habitación privada,1,moderate
10426199,luxurious sunny  1-bedroom apart,29297584,Gnilane,2015-03-13,TRUE,Cuauhtémoc,19.41933,-99.16151,Alojamiento entero,2,moderate
10428249,202 Lovely apartment in Condesa,33078207,Milton,2015-05-10,TRUE,Cuauhtémoc,19.40693,-99.17171,Alojamiento entero,4,moderate
10430293,Cómodo apartamento en Condesa 203,33078207,Milton,2015-05-10,TRUE,Cuauhtémoc,19.40869,-99.17118,Alojamiento entero,5,moderate
10431773,Polanco excellent location and home atmosphere,14192996,Alejandra,2014-04-12,TRUE,Miguel Hidalgo,19.43301,-99.18927,Alojamiento entero,2,moderate
10433021,Cool apartment in the best location (next to Roma),53738717,Daniel,2016-01-07,TRUE,Cuauhtémoc,19.43073,-99.15746,Alojamiento entero,4,moderate
10439887,ACOGEDOR DPTO CON TERRAZAS,53781341,Susana,2016-01-08,FALSE,Cuauhtémoc,19.41386,-99.15765,Alojamiento entero,2,strict_14_with_grace_period
10441036,entire apartment near insurgentes in hundido park,53784552,Victor,2016-01-08,FALSE,Benito Juárez,19.379270000000002,-99.18211,Alojamiento entero,3,flexible
10450382,Downtown Apt -Gym -Security -Mezcal -PickUpService,46570815,Claudio  & Angela,2015-10-14,FALSE,Cuauhtémoc,19.4353,-99.14684,Alojamiento entero,6,strict_14_with_grace_period
10450752,Bonito Apartamento de 2 dormitorios con parking,51349154,Monimbo,2015-12-14,FALSE,Cuauhtémoc,19.41234,-99.14527,Alojamiento entero,2,moderate
10452153,Cozy and Centric Apartment  near Trendy Zone.,17383338,Cyntia,2014-06-28,FALSE,Benito Juárez,19.39197,-99.15272,Habitación privada,2,flexible
10454896,Luminoso estudio en San Jerónimo,53733092,Nuria,2016-01-07,FALSE,La Magdalena Contreras,19.32416,-99.2197,Habitación privada,1,moderate
10464501,Great place to stay in Condesa,23982131,María José,2014-11-20,TRUE,Cuauhtémoc,19.41128,-99.18196,Habitación privada,5,moderate
10470723,You can get anywhere from here!,21229988,Rosalinda,2014-09-11,FALSE,Cuauhtémoc,19.41833,-99.16907,Habitación privada,1,flexible
10499715,Room in Parques Polanco Residence,54131773,Mario,2016-01-10,FALSE,Miguel Hidalgo,19.44029,-99.18404,Habitación privada,2,flexible
10501458,"Musicians, own bathroom and Fun",54142086,César,2016-01-10,FALSE,Benito Juárez,19.3794,-99.17578,Habitación privada,2,flexible
10502006,Beautiful Apartment in Polanco,6570771,Elena,2013-05-25,TRUE,Miguel Hidalgo,19.43714,-99.19371,Alojamiento entero,3,flexible
10505061,LO MEJOR DE POLANQUITO B&B HERMOSA/AMPLIA/ILUMINAD,12222686,Pilar,2014-02-13,FALSE,Miguel Hidalgo,19.43088,-99.19568,Habitación privada,2,strict_14_with_grace_period
10511839,Spectacular 96m2 Loft near Reforma!,40641522,Gabi,2015-08-05,FALSE,Miguel Hidalgo,19.42545,-99.17684,Alojamiento entero,2,flexible
10514721,Drink in City Views from the Sofa in the Heart of Condesa,4581936,Daniela,2013-01-03,TRUE,Cuauhtémoc,19.405,-99.17096,Alojamiento entero,2,moderate
10515341,"Room with pool, tennis and gym.pantalon, santa fe",981001,Roberto,2011-08-16,FALSE,Cuajimalpa de Morelos,19.38618,-99.26423,Habitación privada,1,moderate
10516127,House ROMA style BREAKFAST INCLUDED 6 to 30ppl,7682248,Fherdinand Strasse,2013-07-23,FALSE,Cuauhtémoc,19.41029,-99.16325,Alojamiento entero,16,strict_14_with_grace_period
10522721,Nice little apartment near Santa fe,54254043,Poc,2016-01-11,FALSE,Álvaro Obregón,19.33463,-99.27468,Alojamiento entero,3,flexible
