anio	anfitrion	partidos_crudo
1950	brazil	(2)  25 June     England        2-0  Chile           @ Estádio do Maracanã, Rio de Janeiro
1950	brazil	(3)  25 June     Spain          3-1  United States   @ Estádio Durival de Britto, Curitiba
1950	brazil	(8)  29 June     Spain          2-0  Chile           @ Estádio do Maracanã, Rio de Janeiro
1950	brazil	(10) 29 June     United States  1-0  England         @ Estádio Independência, Belo Horizonte
1950	brazil	(12)  2 July     Spain          1-0  England         @ Estádio do Maracanã, Rio de Janeiro
1950	brazil	(15)  2 July     Chile          5-2  United States   @ Estádio Ilha do Retiro, Recife
1950	brazil	(4)  25 June     Sweden         3-2  Italy           @ Estádio do Pacaembu, São Paulo
1950	brazil	(9)  29 June     Sweden         2-2  Paraguay        @ Estádio Durival Britto, Curitiba
1950	brazil	(13)  2 July     Italy          2-0  Paraguay        @ Estádio do Pacaembu, São Paulo
1950	brazil	(16)  2 July     Uruguay        8-0  Bolivia         @ Estádio Independência, Belo Horizonte
1950	brazil	(17)  9 July     Uruguay        2-2  Spain           @ Estádio do Pacaembu, São Paulo
1950	brazil	(18)  9 July     Brazil         7-1  Sweden          @ Estádio do Maracanã, Rio de Janeiro
1950	brazil	(19) 13 July     Brazil         6-1  Spain           @ Estádio do Maracanã, Rio de Janeiro
1950	brazil	(20) 13 July     Uruguay        3-2  Sweden          @ Estádio do Pacaembu, São Paulo
1950	brazil	(21) 16 July     Sweden         3-1  Spain           @ Estádio do Pacaembu, São Paulo
1950	brazil	(22) 16 July     Uruguay        2-1  Brazil          @ Estádio do Maracanã, Rio de Janeiro
1954	switzerland	(3)  16 June    Brazil       5-0   Mexico    @ Charmilles Stadium, Geneva
1954	switzerland	(4)  16 June    Yugoslavia   1-0   France    @ Stade Olympique de la Pontaise, Lausanne
1954	switzerland	(10) 19 June    Brazil     1-1 a.e.t. 1-1  Yugoslavia  @ Stade Olympique de la Pontaise, Lausanne
1954	switzerland	(11) 19 June    France     3-2             Mexico      @ Charmilles Stadium, Geneva
1954	switzerland	(5)  17 June    West Germany    4-1   Turkey         @ Wankdorf Stadium, Bern
1954	switzerland	(8)  17 June    Hungary         9-0   South Korea    @ Hardturm Stadium, Zürich
1954	switzerland	(14) 20 June    Hungary         8-3   West Germany   @ St. Jakob Stadium, Basel
1954	switzerland	(15) 20 June    Turkey          7-0   South Korea    @ Charmilles Stadium, Geneva
1954	switzerland	(25) 23 June    West Germany     7-2  Turkey     @ Hardturm Stadium, Zürich
1954	switzerland	(1)  16 June    Uruguay          2-0  Czechoslovakia    @ Wankdorf Stadium, Bern
1954	switzerland	(2)  16 June    Austria          1-0  Scotland          @ Hardturm Stadium, Zürich
1954	switzerland	(9)  19 June    Austria          5-0  Czechoslovakia    @ Hardturm Stadium, Zürich
1954	switzerland	(12) 19 June    Uruguay          7-0  Scotland          @ St. Jakob Stadium, Basel
1954	switzerland	(6)  17 June    England          4-4 a.e.t. 3-3  Belgium    @ St. Jakob Stadium, Basel
1954	switzerland	(7)  17 June    Switzerland      2-1  Italy                 @ Stade Olympique de la Pontaise, Lausanne
1954	switzerland	(13) 20 June    England          2-0  Switzerland     @ Wankdorf Stadium, Bern
1954	switzerland	(16) 20 June    Italy            4-1  Belgium         @ Cornaredo Stadium, Lugano
1954	switzerland	(26) 23 June    Switzerland      4-1   Italy      @ St. Jakob Stadium, Basel
