anio	anfitrion	estadio	ciudad	partido_orden	fecha	equipo_1	equipo_2	equipo_1_final	equipo_2_final
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(2)	1950-06-25	Inglaterra	Chile	2	0
1950	Brasil	Estádio Durival de Britto	Curitiba	(3)	1950-06-25	España	Estados Unidos	3	1
1950	Brasil	Estádio do Pacaembu	São Paulo	(4)	1950-06-25	Suecia	Italia	3	2
1950	Brasil	Estádio do Pacaembu	São Paulo	(6)	1950-06-28	Brasil	Suiza	2	1
1950	Brasil	Estádio dos Eucaliptos	Porto Alegre	(7)	1950-06-28	Yugoslavia	Mexico	4	1
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(8)	1950-06-29	España	Chile	2	0
1950	Brasil	Estádio Independência	Belo Horizonte	(10)	1950-06-29	Estados Unidos	Inglaterra	1	0
1950	Brasil	Estádio Durival Britto	Curitiba	(9)	1950-06-29	Suecia	Paraguay	2	2
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(11)	1950-07-01	Brasil	Yugoslavia	2	0
1950	Brasil	Estádio dos Eucaliptos	Porto Alegre	(14)	1950-07-02	Suiza	Mexico	2	1
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(12)	1950-07-02	España	Inglaterra	1	0
1950	Brasil	Estádio Ilha do Retiro	Recife	(15)	1950-07-02	Chile	Estados Unidos	5	2
1950	Brasil	Estádio do Pacaembu	São Paulo	(13)	1950-07-02	Italia	Paraguay	2	0
1950	Brasil	Estádio Independência	Belo Horizonte	(16)	1950-07-02	Uruguay	Bolivia	8	0
1950	Brasil	Estádio do Pacaembu	São Paulo	(17)	1950-07-09	Uruguay	España	2	2
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(18)	1950-07-09	Brasil	Suecia	7	1
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(19)	1950-07-13	Brasil	España	6	1
1950	Brasil	Estádio do Pacaembu	São Paulo	(20)	1950-07-13	Uruguay	Suecia	3	2
1950	Brasil	Estádio do Pacaembu	São Paulo	(21)	1950-07-16	Suecia	España	3	1
1950	Brasil	Estádio do Maracanã	Rio de Janeiro	(22)	1950-07-16	Uruguay	Brasil	2	1
1954	Suiza	Charmilles Stadium	Geneva	(3)	1954-06-16	Brasil	Mexico	5	0
1954	Suiza	Stade Olympique de la Pontaise	Lausanne	(4)	1954-06-16	Yugoslavia	Francia	1	0
1954	Suiza	Wankdorf Stadium	Bern	(1)	1954-06-16	Uruguay	Checoslovaquia	2	0
1954	Suiza	Hardturm Stadium	Zürich	(2)	1954-06-16	Austria	Escocia	1	0
1954	Suiza	Wankdorf Stadium	Bern	(5)	1954-06-17	Alemania occidental	Turquía	4	1
1954	Suiza	Hardturm Stadium	Zürich	(8)	1954-06-17	Hungría	Corea del Sur	9	0
1954	Suiza	St. Jakob Stadium	Basel	(6)	1954-06-17	Inglaterra	Bélgica	3	3
1954	Suiza	Stade Olympique de la Pontaise	Lausanne	(7)	1954-06-17	Suiza	Italia	2	1
1954	Suiza	Stade Olympique de la Pontaise	Lausanne	(10)	1954-06-19	Brasil	Yugoslavia	1	1
1954	Suiza	Charmilles Stadium	Geneva	(11)	1954-06-19	Francia	Mexico	3	2
1954	Suiza	Hardturm Stadium	Zürich	(9)	1954-06-19	Austria	Checoslovaquia	5	0
1954	Suiza	St. Jakob Stadium	Basel	(12)	1954-06-19	Uruguay	Escocia	7	0
1954	Suiza	St. Jakob Stadium	Basel	(14)	1954-06-20	Hungría	Alemania occidental	8	3
1954	Suiza	Charmilles Stadium	Geneva	(15)	1954-06-20	Turquía	Corea del Sur	7	0
1954	Suiza	Wankdorf Stadium	Bern	(13)	1954-06-20	Inglaterra	Suiza	2	0
1954	Suiza	Cornaredo Stadium	Lugano	(16)	1954-06-20	Italia	Bélgica	4	1
1954	Suiza	Hardturm Stadium	Zürich	(25)	1954-06-23	Alemania occidental	Turquía	7	2
1954	Suiza	St. Jakob Stadium	Basel	(26)	1954-06-23	Suiza	Italia	4	1
1954	Suiza	Stade Olympique de la Pontaise	Lausanne	(19)	1954-06-26	Austria	Suiza	7	5
1954	Suiza	St. Jakob Stadium	Basel	(20)	1954-06-26	Uruguay	Inglaterra	4	2
1954	Suiza	Charmilles Stadium	Geneva	(17)	1954-06-27	Yugoslavia	Alemania occidental	0	2
1954	Suiza	Wankdorf Stadium	Bern	(18)	1954-06-27	Brasil	Hungría	2	4
1954	Suiza	St. Jakob Stadium	Basel	(21)	1954-06-30	Alemania occidental	Austria	6	1
1954	Suiza	Stade Olympique de la Pontaise	Lausanne	(22)	1954-06-30	Hungría	Uruguay	4	2
1954	Suiza	Hardturm Stadium	Zürich	(23)	1954-07-03	Uruguay	Austria	1	3
1954	Suiza	Wankdorf Stadium	Bern	(24)	1954-07-04	Hungría	Alemania occidental	2	3
1958	Suecia	Malmö Stadion	Malmö	(7)	1958-06-08	Alemania occidental	Argentina	3	1
1958	Suecia	Örjans Vall	Halmstad	(8)	1958-06-08	Irlanda del Norte	Checoslovaquia	1	0
1958	Suecia	Idrottsparken	Norrköping	(3)	1958-06-08	Francia	Paraguay	7	3
1958	Suecia	Arosvallen	Västerås	(4)	1958-06-08	Yugoslavia	Escocia	1	1
1958	Suecia	Råsunda Stadium	Solna	(1)	1958-06-08	Suecia	Mexico	3	0
1958	Suecia	Jernvallen	Sandviken	(2)	1958-06-08	Hungría	Gales	1	1
1958	Suecia	Rimnersvallen	Uddevalla	(6)	1958-06-08	Brasil	Austria	3	0
1958	Suecia	Ullevi	Gothenburg	(5)	1958-06-08	Unión Soviética	Inglaterra	2	2
1958	Suecia	Örjans Vall	Halmstad	(15)	1958-06-11	Argentina	Irlanda del Norte	3	1
1958	Suecia	Olympiastadion	Helsingborg	(14)	1958-06-11	Alemania occidental	Checoslovaquia	2	2
